original,suggestion,rule,n_candidates,alternatives,count,example_opinion_id,example_page,status,corrected
fpirit,spirit,long-s,1,,5,84681,434,pending,
ftipulated,stipulated,long-s,1,,5,2351149,232,pending,
ftood,stood,long-s,1,,5,84698,459,pending,
fubftantially,substantially,long-s,1,,5,2351149,257,pending,
fubordinate,subordinate,long-s,1,,5,84681,436,pending,
fuffer,suffer,long-s,1,,5,1299599,414,pending,
fufficiently,sufficiently,long-s,1,,5,84680,,pending,
fuggeftion,suggestion,long-s,1,,5,84680,,pending,
fuing,suing,long-s,1,,5,84681,451,pending,
fums,sums,long-s,1,,5,84681,439,pending,
fupplies,supplies,long-s,1,,5,84681,444,pending,
herfelf,herself,long-s,1,,5,84680,406,pending,
houfe,house,long-s,1,,5,2351149,274,pending,
iffued,issued,long-s,1,,5,84681,442,pending,
ifland,island,long-s,1,,5,84698,,pending,
inquifition,inquisition,long-s,1,,5,2351149,227,pending,
likewife,likewise,long-s,1,,5,84680,406,pending,
oppofed,opposed,long-s,1,,5,84681,442,pending,
ourfelves,ourselves,long-s,1,,5,84680,408,pending,
paffing,passing,long-s,1,,5,2351149,228,pending,
pleafed,pleased,long-s,1,,5,84681,430,pending,
poffefs,possess,long-s,1,,5,84686,176,pending,
prefident,president,long-s,1,,5,84681,457,pending,
purfuant,pursuant,long-s,1,,5,84686,176,pending,
purfued,pursued,long-s,1,,5,1306761,418,pending,
refide,reside,long-s,1,,5,84698,460,pending,
refort,resort,long-s,1,,5,84681,474,pending,
reft,rest,long-s,1,,5,84681,439,pending,
reprefented,represented,long-s,1,,5,84681,461,pending,
revifion,revision,long-s,1,,5,84681,448,pending,
tbeir,their,h->b,1,,5,84857,133,pending,
truftee,trustee,long-s,1,,5,84681,446,pending,
ufeful,useful,long-s,1,,5,84681,455,pending,
unjuft,unjust,long-s,1,,5,84686,179,pending,
unneceffary,unnecessary,long-s,1,,5,84681,449,pending,
utmoft,utmost,long-s,1,,5,1299599,414,pending,
abfurd,absurd,long-s,1,,4,84686,179,pending,
admiffion,admission,long-s,1,,4,84681,443,pending,
anfwers,answers,long-s,1,,4,84681,443,pending,
claufes,clauses,long-s,1,,4,84681,467,pending,
conclufion,conclusion,long-s,1,,4,84681,443,pending,
conftitutionally,constitutionally,long-s,1,,4,84681,475,pending,
confufion,confusion,long-s,1,,4,84681,455,pending,
contraft,contrast,long-s,1,,4,2217721,372,pending,
cuftody,custody,long-s,1,,4,84680,409,pending,
devifed,devised,long-s,1,,4,84681,452,pending,
difabilities,disabilities,long-s,1,,4,2217721,372,pending,
diverfity,diversity,long-s,1,,4,84686,179,pending,
effential,essential,long-s,1,,4,84681,447,pending,
eftate,estate,long-s,1,,4,84698,465,pending,
eftimation,estimation,long-s,1,,4,2220732,,pending,
exclufively,exclusively,long-s,1,,4,84681,431,pending,
expreffions,expressions,long-s,1,,4,84681,459,pending,
fafe,safe,long-s,1,,4,2351149,221,pending,
