cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
85057,KEEP,canonical,85057,headnotes;summary;headmatter;arguments,32208
85061,KEEP,canonical,85061,headnotes;summary;headmatter,1280
85062,KEEP,canonical,85062,headnotes;summary;headmatter;arguments,56101
85063,KEEP,canonical,85063,headnotes;summary;headmatter;arguments,24879
85065,KEEP,canonical,85065,headnotes;summary;headmatter;arguments,43646
85066,KEEP,canonical,85066,headnotes;summary;headmatter;arguments,72928
85067,KEEP,canonical,85067,headnotes;summary;headmatter;arguments,23189
85068,KEEP,canonical,85068,headnotes;summary;headmatter;arguments,74167
85069,KEEP,canonical,85069,headnotes;summary;headmatter,1457
85070,KEEP,canonical,85070,headnotes;summary;headmatter;arguments,101373
85071,KEEP,canonical,85071,headnotes;summary;headmatter;arguments,49303
85073,KEEP,duplicate,1394601,headnotes;summary;headmatter,2374
85074,KEEP,canonical,85074,headnotes;summary;headmatter,2722
85076,KEEP,canonical,85076,headnotes;summary;headmatter,8020
85077,KEEP,canonical,85077,headnotes;summary;headmatter;arguments,8878
85078,KEEP,canonical,85078,headnotes;summary;headmatter;arguments,44488
85079,KEEP,canonical,85079,headnotes;summary;headmatter;arguments,31113
85080,KEEP,canonical,85080,headnotes;summary;headmatter,4082
85081,KEEP,canonical,85081,headnotes;summary;headmatter;arguments,31035
85082,KEEP,canonical,85082,headnotes;summary;headmatter,1895
85083,KEEP,canonical,85083,headnotes;summary;headmatter;arguments,29582
85084,KEEP,canonical,85084,headnotes;summary;headmatter;arguments,15751
85085,KEEP,canonical,85085,headnotes;summary;headmatter;arguments,13878
85088,KEEP,canonical,85088,headnotes;summary;headmatter,1756
85089,KEEP,canonical,85089,headnotes;summary;headmatter,8778
85090,KEEP,canonical,85090,headnotes;summary;headmatter,22047
85091,KEEP,canonical,85091,headnotes;summary;headmatter,20586
85092,KEEP,canonical,85092,headnotes;summary;headmatter,31432
85093,KEEP,canonical,85093,headnotes;summary;headmatter,9292
85094,KEEP,canonical,85094,headnotes;summary;headmatter,13061
85095,KEEP,canonical,85095,headnotes;summary;headmatter,20624
85096,KEEP,canonical,85096,headnotes;summary;headmatter,13558
85097,KEEP,canonical,85097,headnotes;summary;headmatter,1377
85098,KEEP,canonical,85098,headnotes;summary;headmatter,36080
85099,KEEP,canonical,85099,headnotes;summary;headmatter,33978
85100,KEEP,canonical,85100,headnotes;summary;headmatter,2963
85102,KEEP,canonical,85102,headnotes;summary;headmatter,1720
85103,KEEP,canonical,85103,headnotes;summary;headmatter,9789
85104,KEEP,canonical,85104,headnotes;summary;headmatter,63914
85105,KEEP,canonical,85105,headnotes;summary;headmatter,1679
85106,KEEP,canonical,85106,headnotes;headmatter,2507
85107,KEEP,canonical,85107,headnotes;summary;headmatter,2802
85108,KEEP,canonical,85108,headnotes;summary;headmatter,23542
85109,KEEP,canonical,85109,headnotes;summary;headmatter,4326
85110,KEEP,canonical,85110,headnotes;summary;headmatter,6567
85111,KEEP,canonical,85111,headnotes;summary;headmatter,20751
85112,KEEP,canonical,85112,headnotes;summary;headmatter,19204
85113,KEEP,canonical,85113,headnotes;summary;headmatter,11821
85114,KEEP,canonical,85114,headnotes;summary;headmatter,8002
85115,KEEP,canonical,85115,headnotes;summary;headmatter,4252
85116,KEEP,canonical,85116,headnotes;summary;headmatter,87247
85117,KEEP,canonical,85117,headnotes;summary;headmatter,5002
85118,KEEP,canonical,85118,headnotes;summary;headmatter,187220
85119,KEEP,canonical,85119,headnotes;summary;headmatter,992
85120,KEEP,canonical,85120,headnotes;summary;headmatter,149255
85121,KEEP,canonical,85121,headnotes;summary;headmatter,70517
85122,KEEP,canonical,85122,headnotes;summary;headmatter,24728
85123,KEEP,canonical,85123,headnotes;summary;headmatter,990
85124,KEEP,canonical,85124,headnotes;summary;headmatter,5267
85126,KEEP,canonical,85126,headnotes;summary;headmatter,1811
85127,KEEP,canonical,85127,headnotes;summary;headmatter,115227
85128,KEEP,canonical,85128,headnotes;summary;headmatter,148298
85129,KEEP,canonical,85129,headnotes;summary;headmatter;arguments,8287
85130,KEEP,canonical,85130,headnotes;summary;headmatter;arguments,9290
85131,KEEP,canonical,85131,headnotes;summary;headmatter;arguments,18680
85132,KEEP,canonical,85132,headnotes;summary;headmatter;arguments,12842
85133,KEEP,canonical,85133,headnotes;summary;headmatter;arguments,41241
85134,KEEP,canonical,85134,headnotes;summary;headmatter;arguments,32759
85135,KEEP,canonical,85135,headnotes;summary;headmatter;arguments,16638
85136,KEEP,canonical,85136,headnotes;summary;headmatter;arguments,24671
85138,KEEP,canonical,85138,headnotes;summary;headmatter;arguments,10267
85139,KEEP,canonical,85139,headnotes;summary;headmatter;arguments,22189
85140,KEEP,canonical,85140,headnotes;summary;headmatter;arguments,3798
85141,KEEP,canonical,85141,headnotes;summary;headmatter;arguments,19987
85142,KEEP,canonical,85142,headnotes;summary;headmatter;arguments;disposition,11231
85143,KEEP,canonical,85143,headnotes;summary;headmatter,3096
85144,KEEP,canonical,85144,headnotes;summary;headmatter,903
85145,KEEP,canonical,85145,headnotes;summary;headmatter,1233
85146,KEEP,canonical,85146,headnotes;summary;headmatter,2381
85148,KEEP,canonical,85148,headnotes;summary;headmatter;arguments,26495
85149,KEEP,canonical,85149,headnotes;summary;headmatter,4748
85150,KEEP,canonical,85150,headnotes;summary;headmatter;arguments,13455
85151,KEEP,canonical,85151,headnotes;summary;headmatter,7222
85152,KEEP,canonical,85152,headnotes;summary;headmatter;arguments,19365
85153,KEEP,canonical,85153,headnotes;summary;headmatter,9355
85154,KEEP,canonical,85154,headnotes;summary;headmatter;arguments,52009
85155,KEEP,canonical,85155,headnotes;summary;headmatter;arguments,10771
85156,KEEP,canonical,85156,headnotes;summary;headmatter,2347
85157,KEEP,canonical,85157,headnotes;summary;headmatter;arguments,13471
85158,KEEP,canonical,85158,headnotes;summary;headmatter,3628
85159,KEEP,canonical,85159,headnotes;summary;headmatter,2115
85160,KEEP,canonical,85160,headnotes;summary;headmatter;arguments,69785
85161,KEEP,canonical,85161,headnotes;summary;headmatter;arguments,19361
85162,KEEP,canonical,85162,headnotes;summary;headmatter;arguments,4996
85163,KEEP,canonical,85163,headnotes;summary;headmatter,3704
85164,KEEP,canonical,85164,headnotes;summary;headmatter,1597
85165,KEEP,canonical,85165,headnotes;summary;headmatter,2142
85166,KEEP,canonical,85166,headnotes;summary;headmatter;arguments,15797
85167,KEEP,canonical,85167,headnotes;summary;headmatter;arguments,36828
85168,KEEP,canonical,85168,headnotes;summary;headmatter;arguments,22183
